,title,author,subject,desc,certificate_price,enrollment,length_by_week,difficulty
0,How to Learn Online  ,edX,Education & Teacher Training,"Designed for those who are new to elearning, this course will prepare you with strategies to be a successful online learner.",49.00,134568,2,0
1,Programming for Everybody (Getting Started with Python)  ,MichiganX,Computer Science,"This course aims to teach everyone the basics of programming computers using Python. We cover the basics of how one constructs a program from a series of simple instructions in Python. The course has no pre-requisites and avoids all but the simplest mathematics. Anyone with moderate computer experience should be able to master the materials in this course. This course will cover Chapters 1-5 of the textbook ""Python for Everybody"". Once a student completes this course, they will be ready to take more advanced programming courses. This course covers Python 3.",49.00,311894,7,0
2,CS50's Introduction to Computer Science  ,HarvardX,Computer Science,"This is CS50x , Harvard University's introduction to the intellectual enterprises of computer science and the art of programming for majors and non-majors alike, with or without prior programming experience. An entry-level course taught by David J. Malan, CS50x teaches students how to think algorithmically and solve problems efficiently. Topics include abstraction, algorithms, data structures, encapsulation, resource management, security, software engineering, and web development. Languages include C, Python, SQL, and JavaScript plus CSS and HTML. Problem sets inspired by real-world domains of biology, cryptography, finance, forensics, and gaming. The on-campus version of CS50x , CS50, is Harvard's largest course. ",199.00,2503137,12,0
3,Introduction to Project Management  ,AdelaideX,Business & Management,"Project management is an essential skill-set for many careers and in many contexts in our lives. Introduction to Project Management is an ideal starting point if you need to manage projects at work or at home, while not necessarily being a formally trained project manager. It is also suitable if you are considering undertaking a project in the near future and are seeking to learn and apply essential project management knowledge and skills.",199.00,309697,6,0
4,Marketing Analytics: Marketing Measurement Strategy  ,BerkeleyX,Computer Science,"Begin your journey in a new career in marketing analytics. Learn about powerful strategies and methodology, starting with identifying market trends and metrics used to measure marketing success.",249.00,84939,4,0
5,Fat Chance: Probability from the Ground Up  ,HarvardX,Math,"Created specifically for those who are new to the study of probability, or for those who are seeking an approachable review of core concepts prior to enrolling in a college-level statistics course, Fat Chance prioritizes the development of a mathematical mode of thought over rote memorization of terms and formulae. Through highly visual lessons and guided practice, this course explores the quantitative reasoning behind probability and the cumulative nature of mathematics by tracing probability and statistics back to a foundation in the principles of counting. ",139.00,69361,7,0
6,The Science of Beer  ,WageningenX,Food & Nutrition, Have you ever taken a sip of beer and wondered why it tastes a certain way or what effect the alcohol has on your body?,49.00,40477,6,0
7,World of Wine: From Grape to Glass  ,AdelaideX,Science,"Think about your favourite wine. Imagine the brilliance of its colour in the glass, the ripe fruit aromas on the nose, a hint of toasty oak and lingering tannins on the back palate. Perhaps you like a specific wine, but can’t pinpoint the reason why. The attributes that make wine so enjoyable are achieved through the expertise of viticulturists and winemakers, whose decision-making in the vineyard and winery is underpinned by science – to be precise, viticulture and oenology.",199.00,83042,6,0
8,Academic and Business Writing  ,BerkeleyX,Communication,"College Writing 2.2x providesan introduction to academic and business writing for English Language Learners. In this course, students focus on understanding the demands of different styles of writing, andwork to improve grammatical correctness, vocabulary development, and revision and editing skills. The five-week course includes material on vocabulary, tone, diction, and editing, all in the areas of academic and business writing. Students will have the opportunity to write on a number of different topics and ideas, always centered on areas of interest to them. The course materials are offered through readings and videos. Assignments include short writing assignments, quizzes, journal entries, and longer essays.",49.00,326463,6,0
9,CS50's Web Programming with Python and JavaScript  ,HarvardX,Computer Science,"Topics include database design, scalability, security, and user experience. Through hands-on projects, you'll learn to write and use APIs, create interactive UIs, and leverage cloud services like GitHub and Heroku. By course's end, you'll emerge with knowledge and experience in principles, languages, and tools that empower you to design and deploy applications on the Internet.",199.00,720360,12,1
